journal	paper	url	size_in_kb	author
IJHS-5-1970-Issue-1	Arbori–Horticulture in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_16_MSShukla.pdf	83.0	M S Shukla
IJHS-5-1970-Issue-2	Jaina Atomic Theory	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_1_JCSikdar.pdf	488.0	J C Sikdar
IJHS-5-1970-Issue-2	Concept of The Structure of Space–Time	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_2_GNChakravarthy.pdf	216.0	G N Chakravarthy
IJHS-5-1970-Issue-2	Problem of Advent of Copper in India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_3_HCBhardwaj.pdf	180.0	H C Bhardwaj
IJHS-5-1970-Issue-2	Metal Technology of The Harappa Culture and Its Socio–Economic Implications	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_4_DPAgrawal.pdf	236.0	D P Agrawal
IJHS-5-1970-Issue-2	Development of Technology During The Iron Age in South India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_5_BKGRao.pdf	388.0	B K Gururaja Rao
IJHS-5-1970-Issue-2	The Techniques of Colouring Glass and Ceramic Materials in Ancient and Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_6_MChoudhury.pdf	230.0	Mamata Chowdhury
IJHS-5-1970-Issue-2	Some Aspects of Glass Manufacturing in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_7_VGovind.pdf	521.0	Vijay Govind
IJHS-5-1970-Issue-2	The South Indian Temple– Medium of Construction	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_8_TVMahalingam.pdf	127.0	T V Mahalingam
IJHS-5-1970-Issue-2	A Brief Account of the Ancient Irrigation Engineering Systems Prevalent in South India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_9_TMSrinivasan.pdf	216.0	T M Srinivasan
IJHS-5-1970-Issue-2	Influence of Mediterranean Culture Areas on Indian Science	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_10_JFilliozat.pdf	123.0	Jean Filliozat
IJHS-5-1970-Issue-2	Influence of Indian Science on Other Culture Areas	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_11_SNSen.pdf	358.0	S N Sen
IJHS-5-1970-Issue-2	The Growth of Greco–Arabian Medicine in Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_12_RLVerma.pdf	402.0	R L Verma
IJHS-5-1970-Issue-2	The Date of Dhanvantari Nighantu	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_13_PVSharma.pdf	154.0	P V Sharma
IJHS-5-1970-Issue-2	Ideas of Scientific Measurement in Basic Principkles of Ayurveda with Special Reference to Somatometry	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_14_HCShukla.pdf	160.0	H C Shukla
IJHS-5-1970-Issue-2	Water–Lifting Devices in Ancient India: Their Origin and Mechanisms	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_2_15_TMSrinivasan.pdf	161.0	T M Srinivasan
IJHS-6-1971-Issue-1	Archaeological Sources for the Reconstruction of The History of Sciences of India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_1_MNDeshpande.pdf	433.0	M N Deshpande
IJHS-6-1971-Issue-1	Inluence of Certain Harappan Architectural Features on Some Texts of Early–Historical Period	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_2_RSengupta.pdf	94.0	R Sengupta
IJHS-6-1971-Issue-1	Karanasara of Vatesvara	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vo0l6_1_3_RNRai.pdf	177.0	RN Rai
IJHS-6-1971-Issue-1	The Concept of Tides in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_4_NKPanikkar.pdf	335.0	N K Panikkar
IJHS-6-1971-Issue-1	Fractional Parts of Aryabhata's Sines and Certain Rules	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_5_RCGupta.pdf	149.0	R C Gupta
IJHS-6-1971-Issue-1	Lucien Cayeux: A Challenger of the Principle of Uniformity in Geology?	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_6_AVCarozzi.pdf	124.0	Albert V Carozzi
IJHS-6-1971-Issue-1	Triamlla Bhatta: His Date and Works in 100 Verses	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_7_PVSharma.pdf	172.0	P V Sharma
IJHS-6-1971-Issue-1	A Short History of the Meson Theory from 1935 to 1943_I	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_8_VMukherji.pdf	521.0	V Mukherji
IJHS-6-1971-Issue-1	Histrory of Sciences in india: Pali Sources	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_9_BMChintamani.pdf	195.0	B M Chintamani and B V Subbarayyapa
IJHS-6-1971-Issue-1	Book Review	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_1_10_BookReviews.pdf	63.0	
IJHS-6-1971-Issue-2	A Short History of the Meson Theory from 1935 to 1943_II	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_1_VMukherji.pdf	354.0	V Mukherji
IJHS-6-1971-Issue-2	The Extant Siddhanta Sekhra: An Error in one of its Sine Values	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_2_RNRai.pdf	70.0	R N Rai
IJHS-6-1971-Issue-2	Exploration of Underground Water Springs According to the Ancient Hindus	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_3_EGKRao.pdf	165.0	E G K Rao
IJHS-6-1971-Issue-2	The Ardharatrika System of Aryabhata I	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_4_RNRai.pdf	123.0	R N Rai
IJHS-6-1971-Issue-2	Sivadasa Sen— A Scholar Commentator on Indian Medicine of Later Medieval Period	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_5_GPSharma.pdf	278.0	G P Sharma and P V Sharma
IJHS-6-1971-Issue-2	Notices of Thirteen Mss. In Prakrit	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol06_2_6_BMChintamani.pdf	111.0	B M Chintamani
IJHS-7-1972-Issue-1	Sine Values of the Vatesvara Siddhanta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_1_RNRai.pdf	252.0	R N Rai
IJHS-7-1972-Issue-1	Kappal Sattiram: A Tamil Treatise on Shipbuilding During the Seventeenth Century AD	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_2_NKPanikkar.pdf	216.0	N K Panikkar and T M Srinivasan
IJHS-7-1972-Issue-1	Calculation of Ahargana in the Vatesvara Siddhanta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_3_RNRai.pdf	311.0	R N Rai
IJHS-7-1972-Issue-1	Botany in the Vedas (Part I)	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_4_ALSharma.pdf	134.0	A L Sharma‚ A B Seerwani and V R Shastry
IJHS-7-1972-Issue-1	Scientific Works in Sanskrit‚ Translated into Foreign Languages and Vice–Versa in the 18th and 19th Century AD	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol07_1_5_SNSen.pdf	531.0	S N Sen
